"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","CCR5 chemokine receptor binding","GO:0031730","0.000011149214150403644","4.952755742675991","7","105","4","20195","CCL5,STAT1,CCL3,CCL4"
"GO:MF","cholesterol binding","GO:0015485","0.000012833523917826336","4.891654075664742","52","13","4","20195","APOA1,APOA4,APOC3,APOA2"
"GO:MF","calcium-dependent protein binding","GO:0048306","0.000018621927264037638","4.729975374008659","82","48","6","20195","S100A12,DMBT1,ANXA3,S100A8,ANXA2,ANXA1"
"GO:MF","lipid transporter activity","GO:0005319","0.00002549312156023689","4.593576983150463","174","13","5","20195","APOA1,APOA4,SFTPA1,FABP4,APOA2"
"GO:MF","sterol binding","GO:0032934","0.00002634996326553025","4.5792199859007185","62","13","4","20195","APOA1,APOA4,APOC3,APOA2"
"GO:MF","peptide binding","GO:0042277","0.000029867251163610428","4.524804745906415","311","66","10","20195","APOA1,HLA-DRB1,HSPG2,ITGAM,HLA-DPB1,CD74,HLA-DPA1,HLA-DRA,PPIA,CD36"
"GO:MF","high-density lipoprotein particle binding","GO:0008035","0.00003875447368616469","4.411678156768767","10","92","4","20195","APOA1,APOA2,CD36,PLTP"
"GO:MF","identical protein binding","GO:0042802","0.000043694107763905864","4.359577124543417","2136","70","24","20195","LDHA,S100A12,APOA1,APOA4,APOA2,EZR,NAMPT,LCN2,GZMA,CCL5,CD74,CST7,GAPDH,ANXA2,PSME2,MMP9,STOM,PKM,STAT1,PRDX6,YWHAH,FAAH,IRAK3,CEBPA"
"GO:MF","quaternary ammonium group binding","GO:0050997","0.00004947283583281323","4.305633194724886","54","17","4","20195","APOA1,APOA4,APOA2,IGHM"
"GO:MF","alcohol binding","GO:0043178","0.00005798814208334593","4.236660805648692","91","27","5","20195","APOA1,APOA4,APOC3,APOA2,RBP4"
"GO:MF","phospholipase A2 inhibitor activity","GO:0019834","0.000058689867643638495","4.231436869898631","5","48","3","20195","ANXA3,ANXA2,ANXA1"
"GO:MF","cholesterol transfer activity","GO:0120020","0.00008299305097935534","4.080958269643958","23","116","5","20195","APOA1,APOA4,APOA2,PLTP,APOB"
"GO:MF","cell adhesion molecule binding","GO:0050839","0.00009916869818377082","4.003625387838644","562","91","14","20195","LDHA,EZR,ITGAM,ANXA2,ANXA1,HSPA1A,PPIA,PKM,STAT1,PRDX6,RAB10,MPP7,CD177,SPP1"
"GO:MF","sterol transfer activity","GO:0120015","0.00010435381717313669","3.9814916601882797","24","116","5","20195","APOA1,APOA4,APOA2,PLTP,APOB"
"GO:MF","immune receptor activity","GO:0140375","0.0001426863176845999","3.845617669765297","143","39","6","20195","HLA-DRB1,CXCR1,CD74,HLA-DPA1,FCGR1A,HLA-DRA"
"GO:MF","protein-containing complex binding","GO:0044877","0.0001534468851260219","3.814041923043893","1311","92","21","20195","APOA1,IGHG1,APOA2,EZR,HLA-DRB1,ITGAM,PTPRC,HLA-DPB1,CD74,HLA-DPA1,FCGR1A,HLA-DRA,ARPC4,PPIA,MMP9,PKM,CD36,CD177,MYH1,SPP1,PLTP"
"GO:MF","lipoprotein particle binding","GO:0071813","0.00015693151184884593","3.804289841320903","27","111","5","20195","APOA1,APOA2,CD36,PLTP,CRP"
"GO:MF","protein-lipid complex binding","GO:0071814","0.00015693151184884593","3.804289841320903","27","111","5","20195","APOA1,APOA2,CD36,PLTP,CRP"
"GO:MF","MHC class II receptor activity","GO:0032395","0.00017308198192474164","3.761748140431652","8","39","3","20195","HLA-DRB1,HLA-DPA1,HLA-DRA"
"GO:MF","chemokine receptor binding","GO:0042379","0.00019522183938105127","3.709471599619465","74","127","7","20195","CCL5,STAT1,CCL3,PF4,CCL4,XCL2,PPBP"
"GO:MF","steroid binding","GO:0005496","0.0001978807347758759","3.70359648567133","102","13","4","20195","APOA1,APOA4,APOC3,APOA2"
"GO:MF","peptide antigen binding","GO:0042605","0.0002467798008704625","3.6076903905443896","34","39","4","20195","HLA-DRB1,HLA-DPB1,HLA-DPA1,HLA-DRA"
"GO:MF","cadherin binding","GO:0045296","0.00027355065967857686","3.5629622335663864","334","60","9","20195","LDHA,EZR,ANXA2,ANXA1,HSPA1A,PKM,STAT1,PRDX6,RAB10"
"GO:MF","amide binding","GO:0033218","0.0002846466746436573","3.5456938854247","397","66","10","20195","APOA1,HLA-DRB1,HSPG2,ITGAM,HLA-DPB1,CD74,HLA-DPA1,HLA-DRA,PPIA,CD36"
"GO:MF","chemokine activity","GO:0008009","0.0003251477521437542","3.487919244070163","50","127","6","20195","CCL5,CCL3,PF4,CCL4,XCL2,PPBP"
"GO:MF","protein binding","GO:0005515","0.000347435216746414","3.4591261626779986","14881","119","109","20195","LDHA,S100A12,APOA1,APOA4,APOC3,SFTPA1,MUC5AC,DMBT1,FABP4,IGHG1,APOA2,HP,EZR,NAMPT,IGHM,APOC2,HLA-DRB1,LCN2,LRG1,HSPG2,GZMA,ANXA3,S100A8,RBP4,BASP1,ITGAM,NCF4,PTPRC,CCL5,CXCR1,NKG7,HLA-DPB1,CD74,FCGR1A,HLA-DRA,CST7,GAPDH,KLRB1,MUC1,ARPC4,RALGAPA2,ANXA2,SELENBP1,ANXA1,HSPA1A,HSP90B1,CD59,PPIA,PSME2,MMP9,STOM,PKM,STAT1,PRDX6,RAB10,EIF4A1,YWHAH,SLC2A3,PDE4B,PRKAG2,CD36,PARVB,FAAH,IRAK3,CEBPA,ACSL3,MSRA,SASH1,SFI1,TSPAN2,ST6GALNAC3,SLC18A1,TMCC1,MPP7,HEATR1,OAS3,CD177,MAFF,MYH1,SFTPB,IGHV3-30,SPP1,PLTP,PRTN3,IGHG4,AREG,SPATS2L,RND3,CCL3,SPON2,IL1R2,IGHA1,FGFBP2,LY6E,PF4,CCL4,CD83,DUSP2,XCL2,SAA1,CRP,CFH,ORM1,SERPINA3,TF,APOB,SERPINA1,KNG1,C9"
"GO:MF","phospholipid binding","GO:0005543","0.0006964968864920797","3.157080820636043","474","48","9","20195","APOA1,APOA4,APOC3,APOA2,IGHM,ANXA3,NCF4,ANXA2,ANXA1"
"GO:MF","sterol transporter activity","GO:0015248","0.000747085853025901","3.1266294874042146","37","13","3","20195","APOA1,APOA4,APOA2"
"GO:MF","CCR1 chemokine receptor binding","GO:0031726","0.0012620151683287288","2.898935425217179","6","105","3","20195","CCL5,CCL3,CCL4"
"GO:MF","phospholipase inhibitor activity","GO:0004859","0.0012761510236803254","2.8940979268140254","12","48","3","20195","ANXA3,ANXA2,ANXA1"
"GO:MF","enzyme regulator activity","GO:0030234","0.002044346670758599","2.6894454566628716","1300","53","14","20195","APOA1,APOA4,APOC3,APOA2,APOC2,ANXA3,NCF4,CCL5,CST7,GAPDH,RALGAPA2,ANXA2,ANXA1,PSME2"
"GO:MF","lipid transfer activity","GO:0120013","0.002113100606017482","2.67507982542847","52","13","3","20195","APOA1,APOA4,APOA2"
"GO:MF","enzyme inhibitor activity","GO:0004857","0.0021692056505612004","2.6636992729419333","406","118","12","20195","APOC3,APOA2,APOC2,ANXA3,CST7,GAPDH,ANXA2,ANXA1,PRKAG2,SERPINA3,SERPINA1,KNG1"
"GO:MF","molecular function regulator activity","GO:0098772","0.002488566305843297","2.6040507833393947","2057","118","29","20195","APOA1,APOA4,APOC3,APOA2,NAMPT,APOC2,ANXA3,NCF4,CCL5,CST7,GAPDH,RALGAPA2,ANXA2,ANXA1,HSPA1A,PSME2,RAB10,YWHAH,PRKAG2,SPP1,AREG,CCL3,LY6E,PF4,CCL4,XCL2,SERPINA3,SERPINA1,KNG1"
"GO:MF","apolipoprotein receptor binding","GO:0034190","0.0026773484095582744","2.5722951093872695","6","13","2","20195","APOA1,APOA2"
"GO:MF","CCR chemokine receptor binding","GO:0048020","0.002777775135494819","2.5563029138778908","48","109","5","20195","CCL5,STAT1,CCL3,CCL4,XCL2"
"GO:MF","amyloid-beta binding","GO:0001540","0.0037768525183629635","2.422869973528757","84","66","5","20195","APOA1,HSPG2,ITGAM,CD74,CD36"
"GO:MF","molecular function inhibitor activity","GO:0140678","0.0042669140708824875","2.369886103078662","739","49","10","20195","APOC3,APOA2,APOC2,ANXA3,CCL5,CST7,GAPDH,ANXA2,ANXA1,HSPA1A"
"GO:MF","low-density lipoprotein particle receptor binding","GO:0050750","0.004695392779822433","2.3283280721998927","24","116","4","20195","HSPG2,HSP90B1,CRP,APOB"
"GO:MF","complement binding","GO:0001848","0.005699392780779957","2.244171412047534","26","112","4","20195","ITGAM,CD59,CRP,CFH"
"GO:MF","immunoglobulin receptor binding","GO:0034987","0.005923987921679193","2.227385835625749","81","128","6","20195","IGHG1,IGHM,IGHV3-30,IGHG4,IGHA1,IGLC3"
"GO:MF","enzyme binding","GO:0019899","0.007486521223996616","2.125719939868479","2093","75","21","20195","APOA1,DMBT1,APOA2,EZR,APOC2,PTPRC,CD74,ARPC4,ANXA2,HSPA1A,HSP90B1,STOM,STAT1,PRDX6,YWHAH,PRKAG2,IRAK3,CEBPA,ACSL3,SASH1,SFI1"
"GO:MF","cytokine activity","GO:0005125","0.009038010302133087","2.0439271679664235","237","127","9","20195","NAMPT,CCL5,SPP1,AREG,CCL3,PF4,CCL4,XCL2,PPBP"
"GO:MF","cadherin binding involved in cell-cell adhesion","GO:0098641","0.00920966208800242","2.0357563042231455","18","60","3","20195","ANXA2,ANXA1,RAB10"
"GO:MF","protein homodimerization activity","GO:0042803","0.014345525675283147","1.843283532904784","710","70","11","20195","APOA1,APOA4,APOA2,GZMA,CCL5,CST7,STOM,PKM,STAT1,IRAK3,CEBPA"
"GO:MF","small molecule binding","GO:0036094","0.028261954013039884","1.5487978146125947","2584","72","22","20195","IFI44L,APOA1,APOA4,APOC3,FABP4,APOA2,LCN2,S100A8,RBP4,GAPDH,HSPA1A,HSP90B1,PPIA,PKM,RAB10,EIF4A1,SLC2A3,PDE4B,PRKAG2,IRAK3,ACSL1,ACSL3"
"GO:MF","disordered domain specific binding","GO:0097718","0.03251418819933289","1.4879270848039032","33","49","3","20195","EZR,GAPDH,HSPA1A"
"GO:MF","RAGE receptor binding","GO:0050786","0.03330369923492924","1.4775075242087279","10","26","2","20195","S100A12,S100A8"
"GO:MF","low-density lipoprotein particle binding","GO:0030169","0.040140891303825706","1.3964129884993643","16","111","3","20195","CD36,PLTP,CRP"
"GO:MF","CD4 receptor binding","GO:0042609","0.04015343756285241","1.3962772685503946","8","36","2","20195","HLA-DRB1,CD74"
"GO:MF","copper ion binding","GO:0005507","0.04169282344170578","1.3799386934169384","61","5","2","20195","S100A12,APOA4"
"GO:MF","protein dimerization activity","GO:0046983","0.04188253693287061","1.3779670198638425","1099","70","13","20195","APOA1,APOA4,APOA2,GZMA,CCL5,CST7,RALGAPA2,STOM,PKM,STAT1,YWHAH,IRAK3,CEBPA"
"GO:MF","glycosaminoglycan binding","GO:0005539","0.04413888337649142","1.3551786577978828","244","118","8","20195","IGHM,PTPRC,PPIA,PF4,SAA1,CFH,APOB,KNG1"
"GO:MF","G protein-coupled receptor binding","GO:0001664","0.0468013311133705","1.3297417946401817","293","127","9","20195","CCL5,HSPA1A,STAT1,CCL3,PF4,CCL4,XCL2,SAA1,PPBP"
"GO:BP","defense response","GO:0006952","5.727060971334918e-29","28.24206819328385","1823","128","62","21110","IFI44L,S100A12,APOA1,APOA4,DMBT1,FABP4,IGHG1,APOA2,HP,IGHM,HLA-DRB1,LCN2,BPI,HSPG2,ANXA3,S100A8,ITGAM,PTPRC,CCL5,NKG7,CD74,HLA-DPA1,FCGR1A,CST7,GAPDH,KLRB1,ANXA1,HSPA1A,MMP9,STAT1,CD36,IRAK3,CEBPA,TSPAN2,OAS3,CD177,IGHV3-30,SPP1,PRTN3,IGHG4,CCL3,SPON2,IL1R2,IGHA1,PF4,CCL4,MMP8,CD83,XCL2,SAA1,CRP,CFH,ORM1,SERPINA3,TF,SERPINA1,KNG1,C9,KLRD1,USP18,PPBP,IGLC3"
"GO:BP","immune system process","GO:0002376","3.806169008542094e-26","25.41951193127559","2710","129","70","21110","IFI44L,S100A12,APOA1,APOA4,SFTPA1,DMBT1,HLA-DQB1,IGHG1,APOA2,HP,EZR,IGHM,HLA-DRB1,LCN2,BPI,GZMA,ANXA3,S100A8,RBP4,ITGAM,PTPRC,CCL5,CXCR1,NKG7,HLA-DPB1,CD74,HLA-DPA1,FCGR1A,HLA-DRA,CST7,GAPDH,KLRB1,ANXA1,HSPA1A,CD59,PPIA,MMP9,STAT1,RAB10,PDE4B,CD36,IRAK3,CEBPA,OAS3,CD177,IGLV3-21,IGHV3-30,PRTN3,IGHG4,CCL3,SPON2,IL1R2,IGHA1,PF4,CCL4,MMP8,CD83,XCL2,SAA1,CRP,CFH,ORM1,TF,C9,KLRD1,PTGDS,USP18,PPBP,IGLC3,ACTB"
"GO:BP","immune response","GO:0006955","1.756474137564589e-24","23.75535824040408","1946","128","59","21110","IFI44L,S100A12,APOA1,APOA4,DMBT1,HLA-DQB1,IGHG1,APOA2,EZR,IGHM,HLA-DRB1,LCN2,BPI,GZMA,ANXA3,S100A8,ITGAM,PTPRC,CCL5,CXCR1,NKG7,HLA-DPB1,CD74,HLA-DPA1,FCGR1A,HLA-DRA,CST7,GAPDH,KLRB1,ANXA1,HSPA1A,CD59,STAT1,PDE4B,CD36,IRAK3,OAS3,CD177,IGLV3-21,IGHV3-30,PRTN3,IGHG4,CCL3,SPON2,IL1R2,IGHA1,PF4,CCL4,CD83,XCL2,CRP,CFH,TF,C9,KLRD1,PTGDS,USP18,PPBP,IGLC3"
"GO:BP","biological process involved in interspecies interaction between organisms","GO:0044419","3.8627133142159977e-22","21.413107523456077","1752","128","54","21110","IFI44L,S100A12,APOA4,DMBT1,FABP4,IGHG1,HP,IGHM,HLA-DRB1,LCN2,BPI,LRG1,GZMA,ANXA3,S100A8,ITGAM,PTPRC,CCL5,NKG7,CD74,HLA-DPA1,FCGR1A,GAPDH,KLRB1,ANXA1,HSPA1A,PPIA,STOM,STAT1,PDE4B,CD36,IRAK3,SASH1,OAS3,CD177,IGHV3-30,PRTN3,IGHG4,CCL3,SPON2,IGHA1,LY6E,PF4,CCL4,XCL2,CRP,CFH,TF,APOB,C9,KLRD1,USP18,PPBP,IGLC3"
"GO:BP","response to other organism","GO:0051707","1.8427690075546907e-21","20.734529100500737","1581","128","51","21110","IFI44L,S100A12,APOA4,DMBT1,FABP4,IGHG1,HP,IGHM,HLA-DRB1,LCN2,BPI,LRG1,GZMA,ANXA3,S100A8,ITGAM,PTPRC,CCL5,NKG7,CD74,HLA-DPA1,FCGR1A,GAPDH,KLRB1,ANXA1,HSPA1A,STAT1,PDE4B,CD36,IRAK3,SASH1,OAS3,CD177,IGHV3-30,PRTN3,IGHG4,CCL3,SPON2,IGHA1,PF4,CCL4,XCL2,CRP,CFH,TF,APOB,C9,KLRD1,USP18,PPBP,IGLC3"
"GO:BP","response to external biotic stimulus","GO:0043207","2.0096010153617046e-21","20.696890158513224","1584","128","51","21110","IFI44L,S100A12,APOA4,DMBT1,FABP4,IGHG1,HP,IGHM,HLA-DRB1,LCN2,BPI,LRG1,GZMA,ANXA3,S100A8,ITGAM,PTPRC,CCL5,NKG7,CD74,HLA-DPA1,FCGR1A,GAPDH,KLRB1,ANXA1,HSPA1A,STAT1,PDE4B,CD36,IRAK3,SASH1,OAS3,CD177,IGHV3-30,PRTN3,IGHG4,CCL3,SPON2,IGHA1,PF4,CCL4,XCL2,CRP,CFH,TF,APOB,C9,KLRD1,USP18,PPBP,IGLC3"
"GO:BP","response to biotic stimulus","GO:0009607","5.76255035218696e-21","20.23938526679424","1621","128","51","21110","IFI44L,S100A12,APOA4,DMBT1,FABP4,IGHG1,HP,IGHM,HLA-DRB1,LCN2,BPI,LRG1,GZMA,ANXA3,S100A8,ITGAM,PTPRC,CCL5,NKG7,CD74,HLA-DPA1,FCGR1A,GAPDH,KLRB1,ANXA1,HSPA1A,STAT1,PDE4B,CD36,IRAK3,SASH1,OAS3,CD177,IGHV3-30,PRTN3,IGHG4,CCL3,SPON2,IGHA1,PF4,CCL4,XCL2,CRP,CFH,TF,APOB,C9,KLRD1,USP18,PPBP,IGLC3"
"GO:BP","response to stress","GO:0006950","2.0127342571593477e-20","19.696213561558363","4017","129","76","21110","IFI44L,S100A12,APOA1,APOA4,DMBT1,FABP4,IGHG1,APOA2,HP,EZR,IGHM,HLA-DRB1,LCN2,BPI,LRG1,HSPG2,ANXA3,S100A8,ITGAM,PTPRC,CCL5,NKG7,CD74,HLA-DPA1,FCGR1A,CST7,GAPDH,KLRB1,MUC1,ANXA2,ANXA1,HSPA1A,HSP90B1,CD59,PPIA,MMP9,STAT1,PRDX6,PRKAG2,CD36,IRAK3,CEBPA,MSRA,SASH1,TSPAN2,OAS3,CD177,IGHV3-30,SPP1,PRTN3,IGHG4,AREG,CCL3,SPON2,IL1R2,IGHA1,PF4,CCL4,MMP8,CD83,XCL2,SAA1,CRP,CFH,ORM1,SERPINA3,TF,SERPINA1,KNG1,C9,KLRD1,USP18,GLUL,PPBP,IGLC3,ACTB"
"GO:BP","response to external stimulus","GO:0009605","2.5520261735356464e-20","19.59311487581145","2900","128","65","21110","IFI44L,S100A12,APOA1,APOA4,DMBT1,FABP4,IGHG1,HP,IGHM,HLA-DRB1,LCN2,BPI,LRG1,GZMA,ANXA3,S100A8,ITGAM,PTPRC,CCL5,CXCR1,NKG7,CD74,HLA-DPA1,FCGR1A,CST7,GAPDH,KLRB1,ANXA2,ANXA1,HSPA1A,PPIA,MMP9,STAT1,PDE4B,PRKAG2,CD36,IRAK3,CEBPA,ACSL1,SASH1,OAS3,CD177,IGHV3-30,SPP1,PRTN3,IGHG4,CCL3,SPON2,IGHA1,PF4,CCL4,MMP8,XCL2,SAA1,CRP,CFH,TF,APOB,KNG1,C9,KLRD1,USP18,GLUL,PPBP,IGLC3"
"GO:BP","defense response to other organism","GO:0098542","2.2479756138594567e-19","18.64820840432349","1243","128","44","21110","IFI44L,S100A12,APOA4,DMBT1,IGHG1,HP,IGHM,LCN2,BPI,ANXA3,S100A8,ITGAM,PTPRC,CCL5,NKG7,CD74,HLA-DPA1,FCGR1A,GAPDH,KLRB1,ANXA1,HSPA1A,STAT1,CD36,IRAK3,OAS3,CD177,IGHV3-30,PRTN3,IGHG4,CCL3,SPON2,IGHA1,PF4,CCL4,XCL2,CRP,CFH,TF,C9,KLRD1,USP18,PPBP,IGLC3"
"GO:BP","positive regulation of multicellular organismal process","GO:0051240","6.343841912162816e-18","17.19764764812595","1704","115","46","21110","FABP4,IGHG1,APOA2,EZR,IGHM,APOC2,HLA-DRB1,LCN2,LRG1,ANXA3,BASP1,ITGAM,PTPRC,CCL5,HLA-DPB1,CD74,HLA-DPA1,HLA-DRA,CST7,GAPDH,ANXA2,ANXA1,HSPA1A,PKM,STAT1,PDE4B,CD36,FAAH,IRAK3,CEBPA,ACSL1,SASH1,OAS3,CD177,IGHV3-30,SPP1,IGHG4,CCL3,SPON2,IGHA1,PF4,MMP8,CD83,SAA1,ORM1,TF"
"GO:BP","inflammatory response","GO:0006954","1.438466025397719e-17","16.842100391094853","803","127","35","21110","S100A12,APOA1,FABP4,IGHG1,APOA2,HP,HLA-DRB1,HSPG2,S100A8,ITGAM,PTPRC,CCL5,NKG7,FCGR1A,CST7,ANXA1,MMP9,CD36,CEBPA,TSPAN2,SPP1,CCL3,IL1R2,PF4,CCL4,MMP8,XCL2,SAA1,CRP,ORM1,SERPINA3,SERPINA1,KNG1,USP18,PPBP"
"GO:BP","regulation of multicellular organismal process","GO:0051239","1.5703179296686754e-17","16.80401241057018","3021","129","63","21110","APOA1,APOA4,APOC3,FABP4,IGHG1,APOA2,EZR,IGHM,APOC2,HLA-DRB1,LCN2,BPI,LRG1,HSPG2,ANXA3,RBP4,BASP1,ITGAM,PTPRC,CCL5,HLA-DPB1,CD74,HLA-DPA1,HLA-DRA,CST7,GAPDH,ANXA2,ANXA1,HSPA1A,MMP9,PKM,STAT1,YWHAH,PDE4B,CD36,FAAH,IRAK3,CEBPA,ACSL1,SASH1,OAS3,CD177,MAFF,IGHV3-30,SPP1,IGHG4,CCL3,SPON2,IL1R2,IGHA1,PF4,MMP8,CD83,SAA1,CRP,ORM1,TF,KNG1,KLRD1,PTGDS,GLUL,IGLC3,ACTB"
"GO:BP","regulation of immune system process","GO:0002682","7.593971496512915e-17","16.119531037289768","1504","129","45","21110","APOA1,IGHG1,APOA2,EZR,IGHM,HLA-DRB1,BPI,RBP4,ITGAM,PTPRC,CCL5,HLA-DPB1,CD74,HLA-DPA1,FCGR1A,HLA-DRA,CST7,KLRB1,ANXA1,HSPA1A,CD59,STAT1,PDE4B,CD36,IRAK3,CEBPA,OAS3,CD177,IGHV3-30,IGHG4,CCL3,SPON2,IGHA1,PF4,CCL4,MMP8,CD83,XCL2,CFH,ORM1,C9,KLRD1,USP18,IGLC3,ACTB"
"GO:BP","innate immune response","GO:0045087","2.1675616123983444e-15","14.664028548963946","996","128","36","21110","S100A12,APOA4,DMBT1,IGHG1,IGHM,LCN2,BPI,S100A8,ITGAM,CCL5,NKG7,CD74,HLA-DPA1,FCGR1A,GAPDH,KLRB1,ANXA1,HSPA1A,STAT1,CD36,IRAK3,OAS3,CD177,IGHV3-30,IGHG4,CCL3,SPON2,IGHA1,CCL4,XCL2,CRP,CFH,C9,KLRD1,USP18,IGLC3"
"GO:BP","immune effector process","GO:0002252","2.185441910777929e-15","14.660460732603237","693","128","31","21110","APOA1,SFTPA1,IGHG1,APOA2,IGHM,HLA-DRB1,ANXA3,RBP4,ITGAM,PTPRC,NKG7,CD74,FCGR1A,HLA-DRA,KLRB1,ANXA1,CD59,CD36,IRAK3,CD177,IGHV3-30,IGHG4,CCL3,SPON2,IGHA1,CRP,CFH,C9,KLRD1,PTGDS,IGLC3"
"GO:BP","positive regulation of immune system process","GO:0002684","3.464667621803963e-15","14.460338422506787","1068","129","37","21110","IGHG1,EZR,IGHM,HLA-DRB1,RBP4,ITGAM,PTPRC,CCL5,HLA-DPB1,CD74,HLA-DPA1,FCGR1A,HLA-DRA,ANXA1,HSPA1A,CD59,PDE4B,CD36,IRAK3,CEBPA,OAS3,CD177,IGHV3-30,IGHG4,CCL3,SPON2,IGHA1,PF4,CCL4,MMP8,CD83,XCL2,CFH,C9,KLRD1,IGLC3,ACTB"
"GO:BP","response to bacterium","GO:0009617","8.626856426918376e-15","14.06414742967928","786","128","32","21110","S100A12,DMBT1,FABP4,IGHG1,HP,IGHM,HLA-DRB1,LCN2,BPI,LRG1,GZMA,ANXA3,S100A8,CCL5,FCGR1A,PDE4B,CD36,IRAK3,SASH1,OAS3,IGHV3-30,IGHG4,CCL3,SPON2,IGHA1,PF4,CRP,TF,APOB,USP18,PPBP,IGLC3"
"GO:BP","positive regulation of biological process","GO:0048518","8.218226845978222e-14","13.085221875169927","6358","129","85","21110","S100A12,APOA1,APOA4,FABP4,IGHG1,APOA2,HP,EZR,NAMPT,IGHM,APOC2,HLA-DRB1,LCN2,LRG1,GZMA,ANXA3,S100A8,RBP4,BASP1,ITGAM,PTPRC,CCL5,NKG7,HLA-DPB1,CD74,HLA-DPA1,FCGR1A,HLA-DRA,CST7,GAPDH,MUC1,ANXA2,ANXA1,HSPA1A,CD59,PPIA,PSME2,MMP9,STOM,PKM,STAT1,PRDX6,YWHAH,PDE4B,PRKAG2,CD36,FAAH,IRAK3,CEBPA,ACSL1,ACSL3,SASH1,MPP7,HEATR1,OAS3,CD177,MAFF,IGHV3-30,SPP1,PLTP,PRTN3,IGHG4,AREG,CCL3,SPON2,IGHA1,PF4,CCL4,MMP8,CD83,XCL2,SAA1,CRP,CFH,ORM1,TF,APOB,KNG1,C9,KLRD1,OLFM4,GLUL,PPBP,IGLC3,ACTB"
"GO:BP","granulocyte migration","GO:0097530","3.778847966030387e-12","11.422640580653054","160","127","16","21110","S100A12,S100A8,CCL5,CXCR1,CD74,ANXA1,PPIA,PDE4B,CD177,PRTN3,CCL3,PF4,CCL4,XCL2,SAA1,PPBP"
"GO:BP","neutrophil migration","GO:1990266","3.837332311737386e-12","11.41597058941139","131","127","15","21110","S100A12,S100A8,CCL5,CXCR1,CD74,PPIA,PDE4B,CD177,PRTN3,CCL3,PF4,CCL4,XCL2,SAA1,PPBP"
"GO:BP","regulation of response to external stimulus","GO:0032101","8.511197388326266e-12","11.070009337381697","1037","124","32","21110","S100A12,APOA1,FABP4,HLA-DRB1,S100A8,PTPRC,CCL5,NKG7,CD74,FCGR1A,CST7,KLRB1,ANXA2,ANXA1,HSPA1A,MMP9,STAT1,CD36,IRAK3,CEBPA,SASH1,OAS3,SPP1,CCL3,CCL4,MMP8,XCL2,SAA1,CFH,KNG1,KLRD1,USP18"
