gene	Liao202134556700_gwas	Xu202134268393	Bhargava201728785034	Chen201627095254	Batra202236121875	Lu201729151698	Morrell201930990758	Liao202134556700_trans	maic_score	contributors
TMPRSS11B	0.0	0.0	0.0	0.0	0.0	0.0	1.0301564947570472	1.0676994462396159	2.097855940996663	TRANSCRIPTOMICS/RNASEQ: Liao202134556700_trans, TRANSCRIPTOMICS/MICROARRAY: Morrell201930990758
SHPS-1	0.0	0.0	0.0	0.0	1.4739426418482349	0.0	0.0	0.0	1.4739426418482349	PROTEOMICS/OTHER: Batra202236121875
CHI3L1	0.0	0.0	0.0	0.0	1.4460375579128482	0.0	0.0	0.0	1.4460375579128482	PROTEOMICS/OTHER: Batra202236121875
IGFBP1	0.0	0.0	0.0	0.0	1.400279556685712	0.0	0.0	0.0	1.400279556685712	PROTEOMICS/OTHER: Batra202236121875
NPPB	0.0	0.0	0.0	0.0	1.3815746427186446	0.0	0.0	0.0	1.3815746427186446	PROTEOMICS/OTHER: Batra202236121875
CXCL8	0.0	0.0	0.0	0.0	1.3507822695368057	0.0	0.0	0.0	1.3507822695368057	PROTEOMICS/OTHER: Batra202236121875
TNFRSF1A	0.0	0.0	0.0	0.0	1.3381339312948652	0.0	0.0	0.0	1.3381339312948652	PROTEOMICS/OTHER: Batra202236121875
TGFA	0.0	0.0	0.0	0.0	1.3171935999603557	0.0	0.0	0.0	1.3171935999603557	PROTEOMICS/OTHER: Batra202236121875
CLC	0.0	0.0	1.3139710157930156	0.0	0.0	0.0	0.0	0.0	1.3139710157930156	PROTEOMICS/MASSSPEC: Bhargava201728785034
IL2RA	0.0	0.0	0.0	0.0	1.3085323738740071	0.0	0.0	0.0	1.3085323738740071	PROTEOMICS/OTHER: Batra202236121875
MEPE	0.0	0.0	0.0	0.0	1.300870421500089	0.0	0.0	0.0	1.300870421500089	PROTEOMICS/OTHER: Batra202236121875
IL1R2	0.0	0.0	0.0	0.0	1.294077752879735	0.0	0.0	0.0	1.294077752879735	PROTEOMICS/OTHER: Batra202236121875
TNFSF13B	0.0	0.0	0.0	0.0	1.2880412877247678	0.0	0.0	0.0	1.2880412877247678	PROTEOMICS/OTHER: Batra202236121875
ADH7	0.0	0.0	1.286286799835314	0.0	0.0	0.0	0.0	0.0	1.286286799835314	PROTEOMICS/MASSSPEC: Bhargava201728785034
BNP	0.0	0.0	0.0	0.0	1.2826626557326994	0.0	0.0	0.0	1.2826626557326994	PROTEOMICS/OTHER: Batra202236121875
CD93	0.0	0.0	0.0	0.0	1.27354772763626	0.0	0.0	0.0	1.27354772763626	PROTEOMICS/OTHER: Batra202236121875
EPHB4	0.0	0.0	0.0	0.0	1.2696722312215796	0.0	0.0	0.0	1.2696722312215796	PROTEOMICS/OTHER: Batra202236121875
IL10	0.0	0.0	0.0	0.0	1.2661734595665972	0.0	0.0	0.0	1.2661734595665972	PROTEOMICS/OTHER: Batra202236121875
EPCAM	0.0	0.0	0.0	0.0	1.2630024066428258	0.0	0.0	0.0	1.2630024066428258	PROTEOMICS/OTHER: Batra202236121875
PSAP	0.0	0.0	1.262878805781512	0.0	0.0	0.0	0.0	0.0	1.262878805781512	PROTEOMICS/MASSSPEC: Bhargava201728785034
TNFRSF1B	0.0	0.0	0.0	0.0	1.2601164413434327	0.0	0.0	0.0	1.2601164413434327	PROTEOMICS/OTHER: Batra202236121875
IL17C	0.0	0.0	0.0	0.0	1.2574784782051407	0.0	0.0	0.0	1.2574784782051407	PROTEOMICS/OTHER: Batra202236121875
IL33	0.0	0.0	0.0	0.0	1.255056256006305	0.0	0.0	0.0	1.255056256006305	PROTEOMICS/OTHER: Batra202236121875
IL17A	0.0	0.0	0.0	0.0	1.2528217102081542	0.0	0.0	0.0	1.2528217102081542	PROTEOMICS/OTHER: Batra202236121875
AGR2	0.0	0.0	1.2525636357014494	0.0	0.0	0.0	0.0	0.0	1.2525636357014494	PROTEOMICS/MASSSPEC: Bhargava201728785034
MOK	0.0	0.0	0.0	0.0	1.2507504270316587	0.0	0.0	0.0	1.2507504270316587	PROTEOMICS/OTHER: Batra202236121875
LIF	0.0	0.0	0.0	0.0	1.2488211685505035	0.0	0.0	0.0	1.2488211685505035	PROTEOMICS/OTHER: Batra202236121875
THPO	0.0	0.0	0.0	0.0	1.2453172282000933	0.0	0.0	0.0	1.2453172282000933	PROTEOMICS/OTHER: Batra202236121875
NOTCH3	0.0	0.0	0.0	0.0	1.2437124932979753	0.0	0.0	0.0	1.2437124932979753	PROTEOMICS/OTHER: Batra202236121875
AMY1A	0.0	0.0	1.2430737356135588	0.0	0.0	0.0	0.0	0.0	1.2430737356135588	PROTEOMICS/MASSSPEC: Bhargava201728785034
IL1R1	0.0	0.0	0.0	0.0	1.2421890924213228	0.0	0.0	0.0	1.2421890924213228	PROTEOMICS/OTHER: Batra202236121875
IL16	0.0	0.0	0.0	0.0	1.240736445279177	0.0	0.0	0.0	1.240736445279177	PROTEOMICS/OTHER: Batra202236121875
GH1	0.0	0.0	0.0	0.0	1.2380077936512957	0.0	0.0	0.0	1.2380077936512957	PROTEOMICS/OTHER: Batra202236121875
OSM	0.0	0.0	0.0	0.0	1.2354663600056432	0.0	0.0	0.0	1.2354663600056432	PROTEOMICS/OTHER: Batra202236121875
AMY1B	0.0	0.0	1.2343413544393949	0.0	0.0	0.0	0.0	0.0	1.2343413544393949	PROTEOMICS/MASSSPEC: Bhargava201728785034
BOC	0.0	0.0	0.0	0.0	1.234251150670088	0.0	0.0	0.0	1.234251150670088	PROTEOMICS/OTHER: Batra202236121875
CCL23	0.0	0.0	0.0	0.0	1.2330666041457499	0.0	0.0	0.0	1.2330666041457499	PROTEOMICS/OTHER: Batra202236121875
CCL19	0.0	0.0	0.0	0.0	1.2319087316780772	0.0	0.0	0.0	1.2319087316780772	PROTEOMICS/OTHER: Batra202236121875
AMY1C	0.0	0.0	1.2263043031695	0.0	0.0	0.0	0.0	0.0	1.2263043031695	PROTEOMICS/MASSSPEC: Bhargava201728785034
PZP	0.0	0.0	1.218905498241723	0.0	0.0	0.0	0.0	0.0	1.218905498241723	PROTEOMICS/MASSSPEC: Bhargava201728785034
AKR1C1	0.0	0.0	1.2120925424061906	0.0	0.0	0.0	0.0	0.0	1.2120925424061906	PROTEOMICS/MASSSPEC: Bhargava201728785034
BPIFB1	0.0	0.0	1.2058173399994443	0.0	0.0	0.0	0.0	0.0	1.2058173399994443	PROTEOMICS/MASSSPEC: Bhargava201728785034
FABP4	0.0	0.0	1.2000357438028963	0.0	0.0	0.0	0.0	0.0	1.2000357438028963	PROTEOMICS/MASSSPEC: Bhargava201728785034
SERPINA6	0.0	0.0	1.1947072308926727	0.0	0.0	0.0	0.0	0.0	1.1947072308926727	PROTEOMICS/MASSSPEC: Bhargava201728785034
CAMP	0.0	0.0	1.189794605100773	0.0	0.0	0.0	0.0	0.0	1.189794605100773	PROTEOMICS/MASSSPEC: Bhargava201728785034
GAPDH	0.0	0.0	1.1852637239028778	0.0	0.0	0.0	0.0	0.0	1.1852637239028778	PROTEOMICS/MASSSPEC: Bhargava201728785034
KNG1	0.0	0.0	1.1810832477274769	0.0	0.0	0.0	0.0	0.0	1.1810832477274769	PROTEOMICS/MASSSPEC: Bhargava201728785034
PLD3	0.0	0.0	1.1772244098456308	0.0	0.0	0.0	0.0	0.0	1.1772244098456308	PROTEOMICS/MASSSPEC: Bhargava201728785034
SLPI	0.0	0.0	1.1736608051517807	0.0	0.0	0.0	0.0	0.0	1.1736608051517807	PROTEOMICS/MASSSPEC: Bhargava201728785034
WFDC2	0.0	0.0	1.1703681962847365	0.0	0.0	0.0	0.0	0.0	1.1703681962847365	PROTEOMICS/MASSSPEC: Bhargava201728785034
MB	0.0	0.0	1.167324335665288	0.0	0.0	0.0	0.0	0.0	1.167324335665288	PROTEOMICS/MASSSPEC: Bhargava201728785034
ALDOC	0.0	0.0	1.1645088021437562	0.0	0.0	0.0	0.0	0.0	1.1645088021437562	PROTEOMICS/MASSSPEC: Bhargava201728785034
SERPINA3	0.0	0.0	1.1619028510580676	0.0	0.0	0.0	0.0	0.0	1.1619028510580676	PROTEOMICS/MASSSPEC: Bhargava201728785034
CFAP57	0.0	1.159710850522821	0.0	0.0	0.0	0.0	0.0	0.0	1.159710850522821	GWAS/WES: Xu202134268393
MYL3	0.0	1.159710840522821	0.0	0.0	0.0	0.0	0.0	0.0	1.159710840522821	GWAS/WES: Xu202134268393
UBXN4	0.0	1.159710820522821	0.0	0.0	0.0	0.0	0.0	0.0	1.159710820522821	GWAS/WES: Xu202134268393
CLSTN2	0.0	1.159710810522821	0.0	0.0	0.0	0.0	0.0	0.0	1.159710810522821	GWAS/WES: Xu202134268393
MIPEP	0.0	1.159710800522821	0.0	0.0	0.0	0.0	0.0	0.0	1.159710800522821	GWAS/WES: Xu202134268393
FCMR	0.0	1.159710790522821	0.0	0.0	0.0	0.0	0.0	0.0	1.159710790522821	GWAS/WES: Xu202134268393
PIEZO2	0.0	1.159710780522821	0.0	0.0	0.0	0.0	0.0	0.0	1.159710780522821	GWAS/WES: Xu202134268393
MYF5	0.0	1.1597107705228211	0.0	0.0	0.0	0.0	0.0	0.0	1.1597107705228211	GWAS/WES: Xu202134268393
KAT5	0.0	1.159710760522821	0.0	0.0	0.0	0.0	0.0	0.0	1.159710760522821	GWAS/WES: Xu202134268393
VWA3B	0.0	1.159710740522821	0.0	0.0	0.0	0.0	0.0	0.0	1.159710740522821	GWAS/WES: Xu202134268393
FAM183A	0.0	1.159710730522821	0.0	0.0	0.0	0.0	0.0	0.0	1.159710730522821	GWAS/WES: Xu202134268393
VWDE	0.0	1.159710720522821	0.0	0.0	0.0	0.0	0.0	0.0	1.159710720522821	GWAS/WES: Xu202134268393
TLL1	0.0	1.159710710522821	0.0	0.0	0.0	0.0	0.0	0.0	1.159710710522821	GWAS/WES: Xu202134268393
DEFA1	0.0	0.0	1.159489276601412	0.0	0.0	0.0	0.0	0.0	1.159489276601412	PROTEOMICS/MASSSPEC: Bhargava201728785034
DEFA1B	0.0	0.0	1.1572522854889151	0.0	0.0	0.0	0.0	0.0	1.1572522854889151	PROTEOMICS/MASSSPEC: Bhargava201728785034
POSTN	0.0	0.0	1.1551773809957284	0.0	0.0	0.0	0.0	0.0	1.1551773809957284	PROTEOMICS/MASSSPEC: Bhargava201728785034
PTX3	0.0	0.0	1.1532512565150874	0.0	0.0	0.0	0.0	0.0	1.1532512565150874	PROTEOMICS/MASSSPEC: Bhargava201728785034
SLC34A2	0.0	0.0	1.151461697854793	0.0	0.0	0.0	0.0	0.0	1.151461697854793	PROTEOMICS/MASSSPEC: Bhargava201728785034
CST2	0.0	0.0	1.1482483525668872	0.0	0.0	0.0	0.0	0.0	1.1482483525668872	PROTEOMICS/MASSSPEC: Bhargava201728785034
IGFBP4	0.0	0.0	1.1298290616878608	1.1470495367484608	0.0	0.0	0.0	0.0	1.1470495367484608	PROTEOMICS/MASSSPEC: Chen201627095254
IL6	0.0	0.0	0.0	1.1470495367484608	0.0	0.0	0.0	0.0	1.1470495367484608	PROTEOMICS/MASSSPEC: Chen201627095254
CXCR3	0.0	0.0	0.0	1.1470495367484608	0.0	0.0	0.0	0.0	1.1470495367484608	PROTEOMICS/MASSSPEC: Chen201627095254
MIP1A	0.0	0.0	0.0	1.1470495367484608	0.0	0.0	0.0	0.0	1.1470495367484608	PROTEOMICS/MASSSPEC: Chen201627095254
NOV	0.0	0.0	0.0	1.1470495367484608	0.0	0.0	0.0	0.0	1.1470495367484608	PROTEOMICS/MASSSPEC: Chen201627095254
IL5RA	0.0	0.0	0.0	1.1470495367484608	0.0	0.0	0.0	0.0	1.1470495367484608	PROTEOMICS/MASSSPEC: Chen201627095254
BMP15	0.0	0.0	0.0	1.1470495367484608	0.0	0.0	0.0	0.0	1.1470495367484608	PROTEOMICS/MASSSPEC: Chen201627095254
IL22BP	0.0	0.0	0.0	1.1470495367484608	0.0	0.0	0.0	0.0	1.1470495367484608	PROTEOMICS/MASSSPEC: Chen201627095254
GPC3	0.0	0.0	0.0	1.1470495367484608	0.0	0.0	0.0	0.0	1.1470495367484608	PROTEOMICS/MASSSPEC: Chen201627095254
IL5	0.0	0.0	0.0	1.1470495367484608	0.0	0.0	0.0	0.0	1.1470495367484608	PROTEOMICS/MASSSPEC: Chen201627095254
HCRT	0.0	0.0	0.0	1.1470495367484608	0.0	0.0	0.0	0.0	1.1470495367484608	PROTEOMICS/MASSSPEC: Chen201627095254
LEP	0.0	0.0	0.0	1.1470495367484608	0.0	0.0	0.0	0.0	1.1470495367484608	PROTEOMICS/MASSSPEC: Chen201627095254
IGFBP2	0.0	0.0	0.0	1.1470495367484608	0.0	0.0	0.0	0.0	1.1470495367484608	PROTEOMICS/MASSSPEC: Chen201627095254
CCL21	0.0	0.0	0.0	1.1470495367484608	0.0	0.0	0.0	0.0	1.1470495367484608	PROTEOMICS/MASSSPEC: Chen201627095254
C5	0.0	0.0	1.1468048286935975	0.0	0.0	0.0	0.0	0.0	1.1468048286935975	PROTEOMICS/MASSSPEC: Bhargava201728785034
STIP1	0.0	0.0	1.145458251228926	0.0	0.0	0.0	0.0	0.0	1.145458251228926	PROTEOMICS/MASSSPEC: Bhargava201728785034
CSTA	0.0	0.0	1.1442006612942055	0.0	0.0	0.0	0.0	0.0	1.1442006612942055	PROTEOMICS/MASSSPEC: Bhargava201728785034
BPIFB2	0.0	0.0	1.14192382180621	0.0	0.0	0.0	0.0	0.0	1.14192382180621	PROTEOMICS/MASSSPEC: Bhargava201728785034
COTL1	0.0	0.0	1.1408917112842345	0.0	0.0	0.0	0.0	0.0	1.1408917112842345	PROTEOMICS/MASSSPEC: Bhargava201728785034
GPX3	0.0	0.0	1.139922771923379	0.0	0.0	0.0	0.0	0.0	1.139922771923379	PROTEOMICS/MASSSPEC: Bhargava201728785034
SERPINA7	0.0	0.0	1.139011817645956	0.0	0.0	0.0	0.0	0.0	1.139011817645956	PROTEOMICS/MASSSPEC: Bhargava201728785034
COL5A1	0.0	0.0	1.1381540881287093	0.0	0.0	0.0	0.0	0.0	1.1381540881287093	PROTEOMICS/MASSSPEC: Bhargava201728785034
EPX	0.0	0.0	1.1365811840078057	0.0	0.0	0.0	0.0	0.0	1.1365811840078057	PROTEOMICS/MASSSPEC: Bhargava201728785034
PABPC1	0.0	0.0	1.1358583170682106	0.0	0.0	0.0	0.0	0.0	1.1358583170682106	PROTEOMICS/MASSSPEC: Bhargava201728785034
SPP1	0.0	0.0	1.1351732337360771	0.0	0.0	0.0	0.0	0.0	1.1351732337360771	PROTEOMICS/MASSSPEC: Bhargava201728785034
C6	0.0	0.0	1.1345228321414995	0.0	0.0	0.0	0.0	0.0	1.1345228321414995	PROTEOMICS/MASSSPEC: Bhargava201728785034
C8B	0.0	0.0	1.1339042650646052	0.0	0.0	0.0	0.0	0.0	1.1339042650646052	PROTEOMICS/MASSSPEC: Bhargava201728785034
CTSL	0.0	0.0	1.133314919029895	0.0	0.0	0.0	0.0	0.0	1.133314919029895	PROTEOMICS/MASSSPEC: Bhargava201728785034
KLK11	0.0	0.0	1.1327523951168457	0.0	0.0	0.0	0.0	0.0	1.1327523951168457	PROTEOMICS/MASSSPEC: Bhargava201728785034
MT2A	0.0	0.0	1.1322144913458798	0.0	0.0	0.0	0.0	0.0	1.1322144913458798	PROTEOMICS/MASSSPEC: Bhargava201728785034
SFTPB	0.0	0.0	1.1316991865103698	0.0	0.0	0.0	0.0	0.0	1.1316991865103698	PROTEOMICS/MASSSPEC: Bhargava201728785034
SLC44A2	0.0	0.0	1.1312046253359653	0.0	0.0	0.0	0.0	0.0	1.1312046253359653	PROTEOMICS/MASSSPEC: Bhargava201728785034
LCAT	0.0	0.0	1.1302710619188752	0.0	0.0	0.0	0.0	0.0	1.1302710619188752	PROTEOMICS/MASSSPEC: Bhargava201728785034
CFP	0.0	0.0	1.1294017871286188	0.0	0.0	0.0	0.0	0.0	1.1294017871286188	PROTEOMICS/MASSSPEC: Bhargava201728785034
NQO1	0.0	0.0	1.1289880293275174	0.0	0.0	0.0	0.0	0.0	1.1289880293275174	PROTEOMICS/MASSSPEC: Bhargava201728785034
PLTP	0.0	0.0	1.1285866786174783	0.0	0.0	0.0	0.0	0.0	1.1285866786174783	PROTEOMICS/MASSSPEC: Bhargava201728785034
VNN1	0.0	0.0	1.128196716430266	0.0	0.0	0.0	0.0	0.0	1.128196716430266	PROTEOMICS/MASSSPEC: Bhargava201728785034
NUCB2	0.0	0.0	1.1278172078176683	0.0	0.0	0.0	0.0	0.0	1.1278172078176683	PROTEOMICS/MASSSPEC: Bhargava201728785034
CDV3	0.0	0.0	1.1274472945866572	0.0	0.0	0.0	0.0	0.0	1.1274472945866572	PROTEOMICS/MASSSPEC: Bhargava201728785034
SELENOP	0.0	0.0	1.127086188998121	0.0	0.0	0.0	0.0	0.0	1.127086188998121	PROTEOMICS/MASSSPEC: Bhargava201728785034
GPRC5A	0.0	0.0	1.126733167982904	0.0	0.0	0.0	0.0	0.0	1.126733167982904	PROTEOMICS/MASSSPEC: Bhargava201728785034
GFUS	0.0	0.0	1.126387567832685	0.0	0.0	0.0	0.0	0.0	1.126387567832685	PROTEOMICS/MASSSPEC: Bhargava201728785034
LEG1	0.0	0.0	1.1260487793267104	0.0	0.0	0.0	0.0	0.0	1.1260487793267104	PROTEOMICS/MASSSPEC: Bhargava201728785034
CEACAM6	0.0	0.0	1.1257162432586016	0.0	0.0	0.0	0.0	0.0	1.1257162432586016	PROTEOMICS/MASSSPEC: Bhargava201728785034
PNP	0.0	0.0	1.1253894463303928	0.0	0.0	0.0	0.0	0.0	1.1253894463303928	PROTEOMICS/MASSSPEC: Bhargava201728785034
GLUL	0.0	0.0	1.1250679173836495	0.0	0.0	0.0	0.0	0.0	1.1250679173836495	PROTEOMICS/MASSSPEC: Bhargava201728785034
MBL2	0.0	0.0	1.1247512239399962	0.0	0.0	0.0	0.0	0.0	1.1247512239399962	PROTEOMICS/MASSSPEC: Bhargava201728785034
CA1	0.0	0.0	1.124130788256657	0.0	0.0	0.0	0.0	0.0	1.124130788256657	PROTEOMICS/MASSSPEC: Bhargava201728785034
GC	0.0	0.0	1.123826347163391	0.0	0.0	0.0	0.0	0.0	1.123826347163391	PROTEOMICS/MASSSPEC: Bhargava201728785034
SERPINA10	0.0	0.0	1.1232274811638483	0.0	0.0	0.0	0.0	0.0	1.1232274811638483	PROTEOMICS/MASSSPEC: Bhargava201728785034
SSB	0.0	0.0	1.1229325157790064	0.0	0.0	0.0	0.0	0.0	1.1229325157790064	PROTEOMICS/MASSSPEC: Bhargava201728785034
STOM	0.0	0.0	1.1226402051443092	0.0	0.0	0.0	0.0	0.0	1.1226402051443092	PROTEOMICS/MASSSPEC: Bhargava201728785034
CAPG	0.0	0.0	1.1223503313163112	0.0	0.0	0.0	0.0	0.0	1.1223503313163112	PROTEOMICS/MASSSPEC: Bhargava201728785034
OLFM4	0.0	0.0	1.122062694243777	0.0	0.0	0.0	0.0	0.0	1.122062694243777	PROTEOMICS/MASSSPEC: Bhargava201728785034
CTSA	0.0	0.0	1.1217771102988072	0.0	0.0	0.0	0.0	0.0	1.1217771102988072	PROTEOMICS/MASSSPEC: Bhargava201728785034
PGC	0.0	0.0	1.1214934109285548	0.0	0.0	0.0	0.0	0.0	1.1214934109285548	PROTEOMICS/MASSSPEC: Bhargava201728785034
COL18A1	0.0	0.0	1.1212114414176289	0.0	0.0	0.0	0.0	0.0	1.1212114414176289	PROTEOMICS/MASSSPEC: Bhargava201728785034
ADGRE5	0.0	0.0	1.1209310597520994	0.0	0.0	0.0	0.0	0.0	1.1209310597520994	PROTEOMICS/MASSSPEC: Bhargava201728785034
CRP	0.0	0.0	1.1206521355767627	0.0	0.0	0.0	0.0	0.0	1.1206521355767627	PROTEOMICS/MASSSPEC: Bhargava201728785034
CD9	0.0	0.0	1.1203745492380102	0.0	0.0	0.0	0.0	0.0	1.1203745492380102	PROTEOMICS/MASSSPEC: Bhargava201728785034
CP	0.0	0.0	1.120098190905275	0.0	0.0	0.0	0.0	0.0	1.120098190905275	PROTEOMICS/MASSSPEC: Bhargava201728785034
EEF1A1	0.0	0.0	1.1198229597646014	0.0	0.0	0.0	0.0	0.0	1.1198229597646014	PROTEOMICS/MASSSPEC: Bhargava201728785034
PTPN6	0.0	0.0	1.1195487632784225	0.0	0.0	0.0	0.0	0.0	1.1195487632784225	PROTEOMICS/MASSSPEC: Bhargava201728785034
TSN	0.0	0.0	1.1192755165061017	0.0	0.0	0.0	0.0	0.0	1.1192755165061017	PROTEOMICS/MASSSPEC: Bhargava201728785034
C9	0.0	0.0	1.1190031414802606	0.0	0.0	0.0	0.0	0.0	1.1190031414802606	PROTEOMICS/MASSSPEC: Bhargava201728785034
TSPAN1	0.0	0.0	1.118731566634303	0.0	0.0	0.0	0.0	0.0	1.118731566634303	PROTEOMICS/MASSSPEC: Bhargava201728785034
DMBT1	0.0	0.0	1.1184607262769395	0.0	0.0	0.0	0.0	0.0	1.1184607262769395	PROTEOMICS/MASSSPEC: Bhargava201728785034
CEACAM8	0.0	0.0	1.1181905601098494	0.0	0.0	0.0	0.0	0.0	1.1181905601098494	PROTEOMICS/MASSSPEC: Bhargava201728785034
CA2	0.0	0.0	1.1179210127849428	0.0	0.0	0.0	0.0	0.0	1.1179210127849428	PROTEOMICS/MASSSPEC: Bhargava201728785034
GMFG	0.0	0.0	1.1176520334979667	0.0	0.0	0.0	0.0	0.0	1.1176520334979667	PROTEOMICS/MASSSPEC: Bhargava201728785034
PAFAH1B2	0.0	0.0	1.1173835756154766	0.0	0.0	0.0	0.0	0.0	1.1173835756154766	PROTEOMICS/MASSSPEC: Bhargava201728785034
SFTPA2	0.0	0.0	1.1171155963324308	0.0	0.0	0.0	0.0	0.0	1.1171155963324308	PROTEOMICS/MASSSPEC: Bhargava201728785034
SLC44A4	0.0	0.0	1.116848056357896	0.0	0.0	0.0	0.0	0.0	1.116848056357896	PROTEOMICS/MASSSPEC: Bhargava201728785034
SLC18A1	0.0	0.0	1.1165809196265533	0.0	0.0	0.0	0.0	0.0	1.1165809196265533	PROTEOMICS/MASSSPEC: Bhargava201728785034
GAA	0.0	0.0	1.1163141530338896	0.0	0.0	0.0	0.0	0.0	1.1163141530338896	PROTEOMICS/MASSSPEC: Bhargava201728785034
CPN1	0.0	0.0	1.1160477261931285	0.0	0.0	0.0	0.0	0.0	1.1160477261931285	PROTEOMICS/MASSSPEC: Bhargava201728785034
ITIH3	0.0	0.0	1.1157816112121162	0.0	0.0	0.0	0.0	0.0	1.1157816112121162	PROTEOMICS/MASSSPEC: Bhargava201728785034
LRG1	0.0	0.0	1.115515782488523	0.0	0.0	0.0	0.0	0.0	1.115515782488523	PROTEOMICS/MASSSPEC: Bhargava201728785034
S100A4	0.0	0.0	1.115250216521859	0.0	0.0	0.0	0.0	0.0	1.115250216521859	PROTEOMICS/MASSSPEC: Bhargava201728785034
AGT	0.0	0.0	1.1147197883454156	0.0	0.0	0.0	0.0	0.0	1.1147197883454156	PROTEOMICS/MASSSPEC: Bhargava201728785034
CRISP3	0.0	0.0	1.1144548881605552	0.0	0.0	0.0	0.0	0.0	1.1144548881605552	PROTEOMICS/MASSSPEC: Bhargava201728785034
ALDH9A1	0.0	0.0	1.114190174503631	0.0	0.0	0.0	0.0	0.0	1.114190174503631	PROTEOMICS/MASSSPEC: Bhargava201728785034
MX1	0.0	0.0	1.113661246778203	0.0	0.0	0.0	0.0	0.0	1.113661246778203	PROTEOMICS/MASSSPEC: Bhargava201728785034
SERPIND1	0.0	0.0	1.113397005751653	0.0	0.0	0.0	0.0	0.0	1.113397005751653	PROTEOMICS/MASSSPEC: Bhargava201728785034
C1S	0.0	0.0	1.1131328971390078	0.0	0.0	0.0	0.0	0.0	1.1131328971390078	PROTEOMICS/MASSSPEC: Bhargava201728785034
GCHFR	0.0	0.0	1.1128689100696614	0.0	0.0	0.0	0.0	0.0	1.1128689100696614	PROTEOMICS/MASSSPEC: Bhargava201728785034
VCAM1	0.0	0.0	1.1126050345654377	0.0	0.0	0.0	0.0	0.0	1.1126050345654377	PROTEOMICS/MASSSPEC: Bhargava201728785034
NIT2	0.0	0.0	1.112341261467325	0.0	0.0	0.0	0.0	0.0	1.112341261467325	PROTEOMICS/MASSSPEC: Bhargava201728785034
