gene	Bime201829425463	Christie201222295056	GuillenGuio202031982041	Liao202134556700_gwas	Meyer201121257790	Meyer201323449693	Tejera201223048207	Shortt201425372662	Xu202134268393	Bhargava201428856588	Bhargava201728785034	Bowler200414742308	Chang200818658106	Chen201324041686	Chen201627095254	Dong201323773529	Mirchandani202235624205_prot	Nguyen201323505561	Batra202236121875	Ren201627565730	Sarma20220_prot	Bos201930645145	Dolinay201222461369	Howrylak200919174476	Juss201627064380	Kangelaris201525795726	Kovach201525849954	Lu201729151698	Martucci202133375484	Mirchandani202235624205_trans	Morrell201829769438	Morrell201930990758	Nick201627606687	Wang200818203972	Zhu201728856588	Englert201930665420	Liao202134556700_trans	Sarma20220_bulk	Scheller201930239899	Zhang202133747181	Zhang202235804020	Jiang202032554932	Sarma20220_sc	maic_score	contributors
ACSL3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8395593712138072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5111653686934636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3119081379470166	0.0	0.0	0.0	0.0	1.7234385199150521	6.3860713977693395	TRANSCRIPTOMICS/MICROARRAY: Juss201627064380, PROTEOMICS/MASSSPEC: Mirchandani202235624205_prot, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
IL1R2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9389289399354306	0.0	0.0	0.0	0.0	0.0	1.6715300787102518	0.0	2.2813953937895506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1312192286760774	6.3515435624010586	PROTEOMICS/OTHER: Batra202236121875, TRANSCRIPTOMICS/MICROARRAY: Kovach201525849954, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
KLRB1	0.0	1.2656099240321028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5602546891572107	0.0	0.0	0.0	0.0	0.0	1.323709301705876	0.0	0.0	0.0	1.7786540105431663	1.9087418615374472	6.058315776432636	TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc, GWAS/GENOTYPING: Christie201222295056, TRANSCRIPTOMICS/MICROARRAY: Morrell201930990758, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk
SLC18A1	0.0	1.2656108740321028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6874217672226999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5148056415533795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3052352285964572	0.0	0.0	0.0	0.0	0.0	5.773073511404639	PROTEOMICS/MASSSPEC: Bhargava201728785034, GWAS/GENOTYPING: Christie201222295056, TRANSCRIPTOMICS/MICROARRAY: Juss201627064380, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk
FKBP5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6517802643447188	0.0	0.0	0.0	0.0	0.0	0.0	2.3920854718142737	0.0	0.0	0.0	0.0	0.0	1.3261035168663777	0.0	0.0	0.0	0.0	1.990308600430276	5.7084975891109275	TRANSCRIPTOMICS/MICROARRAY: Morrell201930990758, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
MX1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6858829715651984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.091166997032148	1.6360103144966278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.803511063278803	5.580561031876149	PROTEOMICS/MASSSPEC: Bhargava201728785034, TRANSCRIPTOMICS/MICROARRAY: Nick201627606687, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
FABP4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8143023793540236	0.0	1.8207170712663785	0.0	0.0	0.0	0.0	1.73666992460994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4200806825718635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3279468050974736	0.0	0.0	0.0	0.0	0.0	5.568744558935716	PROTEOMICS/MASSSPEC: Chang200818658106, TRANSCRIPTOMICS/MICROARRAY: Kovach201525849954, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk
HPGD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5314452825373084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.432288050607278	0.0	0.0	0.0	1.3222109864118847	0.0	0.0	0.0	0.0	1.7776085937876314	5.532107630806793	TRANSCRIPTOMICS/MICROARRAY: Wang200818203972, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
CHI3L1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.050492176158573	0.0	0.0	0.0	0.0	0.0	1.6015954000209516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6960072353625388	5.3480948115420635	PROTEOMICS/OTHER: Batra202236121875, TRANSCRIPTOMICS/MICROARRAY: Juss201627064380, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
IL18R1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7039848329326475	0.0	0.0	0.0	1.6546286927432472	0.0	1.8514370750079865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7753665386428994	5.330788446583533	TRANSCRIPTOMICS/MICROARRAY: Kovach201525849954, PROTEOMICS/OTHER: Sarma20220_prot, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
ITGAM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7742910387322481	0.0	0.0	0.0	0.0	0.0	0.0	1.611679706860631	0.0	1.7412737236422773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7635889578241133	5.279153720198639	TRANSCRIPTOMICS/MICROARRAY: Kovach201525849954, PROTEOMICS/MASSSPEC: Nguyen201323505561, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
CXCL16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5333413973647216	0.0	0.0	0.0	1.9747026845778821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7545878927287022	5.262631974671306	PROTEOMICS/OTHER: Batra202236121875, PROTEOMICS/MASSSPEC: Chen201627095254, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
CD36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8395593712138072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6477234364409967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.758823211528771	5.246106019183575	PROTEOMICS/MASSSPEC: Mirchandani202235624205_prot, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc, TRANSCRIPTOMICS/MICROARRAY: Wang200818203972
NCF4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.726619372942175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7963987191998234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7120136115688345	5.235031703710833	TRANSCRIPTOMICS/MICROARRAY: Kovach201525849954, PROTEOMICS/MASSSPEC: Nguyen201323505561, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
DMBT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6786641578284167	1.6884065629549974	0.0	0.0	0.0	0.0	0.0	0.0	1.8626342399172753	0.0	2.007959466017617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3269067374363526	0.0	0.0	0.0	0.0	0.0	5.197500443371245	PROTEOMICS/MASSSPEC: Nguyen201323505561, PROTEOMICS/OTHER: Ren201627565730, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk
FLT3LG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7039848329326475	0.0	0.0	0.0	1.5085992004052624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9845354107437043	5.197119444081614	TRANSCRIPTOMICS/MICROARRAY: Juss201627064380, PROTEOMICS/OTHER: Sarma20220_prot, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
MMP9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6786635678284167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7479212242033564	0.0	0.0	0.0	0.0	0.0	0.0	1.5824245041860519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8468087059261746	5.177154434315582	PROTEOMICS/MASSSPEC: Nguyen201323505561, TRANSCRIPTOMICS/MICROARRAY: Juss201627064380, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
PDE4B	0.0	0.0	0.0	0.0	0.0	0.0	1.759414315319947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5157659196863034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6444908464375478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7667005396860276	5.170605701443522	TRANSCRIPTOMICS/MICROARRAY: Wang200818203972, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc, GWAS/GENOTYPING: Tejera201223048207
IGFBP7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6786632978284166	1.6910294368801269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9151548547475643	0.0	0.0	0.0	0.0	0.0	1.560458771173856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.166643062801548	PROTEOMICS/OTHER: Batra202236121875, PROTEOMICS/MASSSPEC: Bhargava201728785034, TRANSCRIPTOMICS/MICROARRAY: Juss201627064380
ISG15	0.0	0.0	0.0	0.0	0.0	0.0	1.7572159626229242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.091166997032148	0.0	0.0	0.0	0.0	1.3069497955823648	0.0	0.0	0.0	0.0	0.0	5.155332755237437	TRANSCRIPTOMICS/MICROARRAY: Nick201627606687, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk, GWAS/GENOTYPING: Tejera201223048207
HLA-DQB1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5331670984536954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3082370080342476	0.0	0.0	0.0	2.2996358932186713	0.0	5.141039999706614	TRANSCRIPTOMICS/SCRNASEQ: Jiang202032554932, TRANSCRIPTOMICS/MICROARRAY: Juss201627064380, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk
MT2A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6960136263228613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3063937198031517	0.0	0.0	0.0	1.7852322502463585	2.136369040376823	5.138776386502836	PROTEOMICS/MASSSPEC: Bhargava201728785034, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk
CLC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6786629678284166	2.171418952882157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6378841542868527	0.0	0.0	0.0	1.3280755263426618	0.0	0.0	0.0	0.0	0.0	5.137378633511672	PROTEOMICS/MASSSPEC: Bhargava201728785034, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk, TRANSCRIPTOMICS/MICROARRAY: Wang200818203972
ETFB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7569692964029577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5730041168362356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8060003694111804	5.135973782650374	PROTEOMICS/MASSSPEC: Dong201323773529, TRANSCRIPTOMICS/MICROARRAY: Morrell201930990758, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
CYBB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8030041447940472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3220977117161192	0.0	0.0	0.0	0.0	2.0055333312107866	5.130635187720953	PROTEOMICS/MASSSPEC: Nguyen201323505561, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
RAB10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7400744932477208	0.0	0.0	0.0	0.0	0.0	0.0	1.5969114686642136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7901174523517338	5.127103414263669	TRANSCRIPTOMICS/MICROARRAY: Juss201627064380, PROTEOMICS/MASSSPEC: Nguyen201323505561, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
CCL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7039848329326475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.314621581795585	0.0	0.0	0.0	0.0	2.1066447504512356	5.125251165179468	TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk, PROTEOMICS/OTHER: Sarma20220_prot, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
B2M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6786630578284167	0.0	0.0	1.9202192797058064	0.0	0.0	0.0	0.0	1.7675123801697281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3261961961629134	0.0	0.0	0.0	0.0	1.8775339738309353	5.123949449699655	PROTEOMICS/MASSSPEC: Chang200818658106, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
PRDX1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6786631378284167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7242643852669495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3091895452486406	0.0	0.0	0.0	0.0	2.066961921176594	5.100415851692184	PROTEOMICS/MASSSPEC: Nguyen201323505561, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
LILRB2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8395593712138072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.310291399107452	0.0	0.0	0.0	0.0	1.9354245109342398	5.085275281255499	PROTEOMICS/MASSSPEC: Mirchandani202235624205_prot, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
CEACAM6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6921690154724565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0586224433249405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3230399512308972	0.0	0.0	0.0	0.0	0.0	5.073831410028294	PROTEOMICS/MASSSPEC: Bhargava201728785034, TRANSCRIPTOMICS/MICROARRAY: Kovach201525849954, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk
STAT1	0.0	0.0	0.0	0.0	1.7038186603141656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.025621437323049	0.0	0.0	0.0	1.3235342408124202	0.0	0.0	0.0	0.0	0.0	5.052974338449635	GWAS/GENOTYPING: Meyer201121257790, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk, TRANSCRIPTOMICS/MICROARRAY: Wang200818203972
S100A6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6786632878284167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3195129891127388	0.0	0.0	0.0	0.0	2.051028228554529	5.049204505495684	PROTEOMICS/MASSSPEC: Bhargava201428856588, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
